serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
58;Time Locker: Your Personal Parcel Locker and Smart Lock;39;left;Gadgets;Delaware, OH;;Kresimir Kuterovac;['https://time-locker.com/', 'https://goagro.eu/'];https://www.kickstarter.com/projects/time-locker/time-locker-a-unicorn-delivery-network-and-personal-parcel-box?ref=discovery_category_newest&total_hits=335&category_id=337;Receive and send packages securely anytime with a personal delivery box or smart lock—great for homes, buildings, and businesses
59;WARDY, Is everything ready if you leave today?;54;left;Web;Houston, TX;;Jose Miguel S.;[];https://www.kickstarter.com/projects/wrdy/wardy-is-everything-ready-if-you-leave-today?ref=discovery_category_newest&total_hits=335&category_id=342;Send a message to your loved ones, and we will ensure it reaches them when you're no longer present.
60;The Ruins of Highspire;24;left;3D Printing;Upper Hutt, NZ;;Neil Billings;[];https://www.kickstarter.com/projects/corridorsoffate/the-ruins-of-highspire?ref=discovery_category_newest&total_hits=335&category_id=331;STL files for versatile, multi-level ruins designed for tabletop gaming.
61;Eolisa Space© : Telescope Workshop/Hi-Quality Telescopes;54;left;Space Exploration;Albuquerque, NM;;Eolisa Space;['https://eolisaspace.com/', 'https://sentinelalpha.co/', 'https://sentinelalpha.org/'];https://www.kickstarter.com/projects/eolisapace/eolisa-space-telescope-workshop-hi-quality-telescopes?ref=discovery_category_newest&total_hits=335&category_id=340;Empowering future explorers with telescopes designed to inspire, educate, and unlock the wonders of the universe.
62;QuickClawz - A training tool to learn how to cut dogs claws;24;left;Gadgets;North Ayrshire, UK;;Hazel Patterson;['https://muddypawsexpressdogwash.co.uk/'];https://www.kickstarter.com/projects/quickclawz/quickclawz-a-training-tool-to-learn-how-to-cut-dogs-claws?ref=discovery_category_newest&total_hits=335&category_id=337;QuickClawz is a training tool to help teach dog owners, groomers, vets etc to learn how to cut dogs claws confidently and safely
63;Wizard's Chest: Make 100;53;left;DIY Electronics;Providence, RI;;Aaron;[];https://www.kickstarter.com/projects/bmosboxes/wizards-chest?ref=discovery_category_newest&total_hits=335&category_id=334;A test of magical prowess! Use your wand to engage in a series of puzzles to unlock a spellbound chest containing ancient secrets.
64;Speedy boy construction measuring tape;54;left;Fabrication Tools;London, Canada;;Joseph Micheal Leclerc;[];https://www.kickstarter.com/projects/1594399573/speedy-boy-construction-measuring-tape?ref=discovery_category_newest&total_hits=335&category_id=335;A way for drywallers and other trades to score and mark sheet material while protecting your finger and do so using familiar techniques
65;Lomafy: Find Your Next Home in One Click;24;left;Apps;Valencia, Spain;;Newyes;[];https://www.kickstarter.com/projects/newyespain/lomafy-find-your-next-home-in-one-click?ref=discovery_category_newest&total_hits=335&category_id=332;We’re revolutionizing the way people search for and rent homes.
66;3D Flight Lab Printable Drone Gyro V1.2;54;left;Flight;Portland, OR;;Jesse Kloberdanz;['https://binarybox.co/', 'https://3dflightlab.com/'];https://www.kickstarter.com/projects/3dflightlab/3d-flight-lab-printable-drone-gyro-v12?ref=discovery_category_newest&total_hits=335&category_id=336;Safely calibrate and test drones at home with our 3D-printed, customizable, and accessible solution. Ideal for enthusiasts and pros.
67;The ultimate Miata / MX-5 3D printed Hard-Top - Make 100;24;left;3D Printing;Toulouse, France;;Inzeth;[];https://www.kickstarter.com/projects/inzeth/the-ultimate-miata-mx-5-3d-printed-hard-top-make-100?ref=discovery_category_newest&total_hits=335&category_id=331;Ever dreamed about 3D printing your own functional waterproof hard-top for your Miata, or just owning one under 7kg? (for NA and NB)
68;How To Make Music Immersive;53;left;Sound;Rottweil, Germany;;Emika;['http://www.emikarecords.com/', 'http://emika-official.bandcamp.com/', 'https://www.facebook.com/emikamusic', 'https://soundcloud.com/emika_official', 'https://www.youtube.com/c/Emikarecords', 'https://twitter.com/emika_records', 'https://www.instagram.com/emikarecords'];https://www.kickstarter.com/projects/emikamusic/how-to-make-music-immersive?ref=discovery_category_newest&total_hits=335&category_id=339;Help bring the music and recording studio to life. My new immersive album inspired by performing live in planetariums.
69;Jurassic Gamer - Wall Decor (STL Printable Files);23;left;3D Printing;Barcelona, Spain;;Printed Dimensions;[];https://www.kickstarter.com/projects/printed-dimensions/jurassic-gamer-wall-decor-stl-printable-files?ref=discovery_category_newest&total_hits=335&category_id=331;Combine the power of dinosaurs with gaming in this unique wall decor—ideal for making your gaming space unforgettable!
70;FolioSeven;23;left;Web;Auckland, NZ;;Heitor Schalkwijk;[];https://www.kickstarter.com/projects/folioseven/folio-seven?ref=discovery_category_newest&total_hits=335&category_id=342;A spot where artists can advertise and be found. Free from social media, AI and the popularity contests online.
71;Primal Run: Transform Every Run Into A Wild Chase;23;left;Apps;Turin, Italy;;Twenty6;['https://primalrun.app/'];https://www.kickstarter.com/projects/twenty6/primal-run-transform-every-run-in-a-wild-chase?ref=discovery_category_newest&total_hits=335&category_id=332;The first app that combines running and gaming – escape virtual animals and turn your training into an immersive adventure!
72;LaughHappy Mobile App;23;left;Apps;Boston, MA;;Simah Sprawling;[];https://www.kickstarter.com/projects/laughhappymobileapp/laughhappy-mobile-app?ref=discovery_category_newest&total_hits=335&category_id=332;A daily dose of laughter helps depression and anxiety. I want to help everyone with mental health issues the way I helped myself.
73;Join Us in Launching the Future of AI-Powerd Internet Radio!;23;left;Apps;Tokyo, Japan;;Masakazu Nomura;[];https://www.kickstarter.com/projects/1376367015/join-us-in-launching-the-future-of-ai-powerd-internet-radio?ref=discovery_category_newest&total_hits=335&category_id=332;"""PeersAI Radio"", A New Era in Personalized AI Radio is Here!"
74;Dockadoo: inflatable PWC dock & lift plus wireless pump;26;left;Hardware;South Florida, FL;;Andrew & Brian;['https://www.dockadoo.com/'];https://www.kickstarter.com/projects/dockadoo/dockadoo-inflatable-pwc-dock-lift-pump-and-vacccum-bag?ref=discovery_category_newest&total_hits=335&category_id=52;Dock Anywhere, Lift Personal water craft out of the water with ease: The Future of PWC Storage, portable, tough, easy set up anywhere.
75;Social platform for user created micro-museums made fun;13;left;Makerspaces;Stockholm, Sweden;;Anna Johansson;['https://www.magnificenth.com/'];https://www.kickstarter.com/projects/magnificenth/social-platform-for-user-created-micro-museums-made-fun?ref=discovery_category_newest&total_hits=335&category_id=362;Explore and learn. Create and share your content, your expertise. User created unique museums showing the best of things around us.
76;QUACK WALL (make/100);13;left;Web;Copenhagen, Denmark;;Maham.A;['https://quackwall.com/'];https://www.kickstarter.com/projects/709458977/quack-wall-make-100?ref=discovery_category_newest&total_hits=335&category_id=342;Quack out loud! Join the Quack Revolution!
77;Scout Battery: Smart, Rugged, and Modular Power;22;left;Gadgets;Santa Barbara, CA;;MAAK Outdoor;['https://www.maakoutdoor.com/'];https://www.kickstarter.com/projects/maak/scout-battery-smart-rugged-and-modular-power?ref=discovery_category_newest&total_hits=335&category_id=337;Scout is the battery that does it all. Fast charging. Rugged by design. Modular in function.
78;Mr. Philli a system that works;22;left;Software;Tampa, FL;;Luiyer garcia;[];https://www.kickstarter.com/projects/etnicus/mr-philli-a-system-that-works?ref=discovery_category_newest&total_hits=335&category_id=51;We are an application that promotes human growth: with the promotion of friendly process systems
79;Support SoccerFieldMap.com: Your Field Finder and Community;52;left;Web;New York, NY;;Timur Kurbanov;['https://www.soccerfieldmap.com/'];https://www.kickstarter.com/projects/soccerfieldmap/support-soccerfieldmapcom-your-field-finder-and-community?ref=discovery_category_newest&total_hits=335&category_id=342;Discover soccer fields near you, rate them, and join games effortlessly.
80;MecArmy RL4 EDC Prybar/Screwdriver Set and Opener Carabiner;22;left;Gadgets;Hong Kong, Hong Kong;;mecarmy;[];https://www.kickstarter.com/projects/mecarmygear/mecarmy-rl4-edc-prybar-screwdriver-set-and-opener-carabiner?ref=discovery_category_newest&total_hits=335&category_id=337;Pry Bar, Lanyard Bead, and Bottle Opener Keychain, Made of Titanium Alloy, CPM3V Steel, and A2 High-Hardness Steel for EDC Needs
