serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
67;Routakit M: The next level in desktop CNC performance;Ended;179%;Fabrication Tools;West Palm Beach, FL;December 6, 2018;Louis Vissepo;['http://www.routakit.com/', 'http://www.kicktraq.com/projects/lumacco/routakit-m-the-next-level-in-desktop-cnc-performan/'];https://www.kickstarter.com/projects/lumacco/routakit-m-the-next-level-in-desktop-cnc-performan;The Routakit M series is our new lineup of desktop CNC machines offering high levels of cutting power and extreme precision.
68;Geatronic CNC: The Multipurpose Desktop CNC Milling Machine;Ended;246%;Fabrication Tools;Cairo, GA;November 23, 2017;Geartronic Inc.;['https://www.instagram.com/geartronicinc/'];https://www.kickstarter.com/projects/geartronicinc/geatronic-cnc-the-multipurpose-desktop-cnc-milling;The Geartronic CNC turns your ideas into reality by carving 3D objects from materials such as wood, plastic, foam, and PCB.
69;xaVNA - a full featured, low cost two port VNA;Ended;147%;Fabrication Tools;Vancouver, Canada;September 13, 2018;Cary Wang;[];https://www.kickstarter.com/projects/1759352588/xavna-a-full-featured-low-cost-two-port-vna;The xaVNA is portable, easy to use, and allows S parameter export.
70;Phoenix Rising;Ended;121%;Fabrication Tools;Lehigh Valley, PA;November 13, 2017;Philip Danaher;[];https://www.kickstarter.com/projects/880567698/phoenix-rising-2;Custom designed outdoor and indoor field hockey sticks crafted with patent pending process design made in the USA.
71;Adventure Tape - The Ultimate Rescue Solution For Your Gear;Ended;301%;Fabrication Tools;Lydney, UK;May 8, 2018;Adventure Tape;['http://www.adventuretape.com/'];https://www.kickstarter.com/projects/adventuretape/adventure-tape-the-ultimate-rescue-solution-for-yo;Adventure Tape® is the perfect rescue solution when the unexpected happens to your gear at the worst time and location possible!
72;Goliath CNC - An Autonomous Robotic Machine Tool for Makers;Ended;1192%;Fabrication Tools;Los Angeles, CA;June 29, 2024;Springa;[];https://www.kickstarter.com/projects/2130625347/goliath-cnc-an-autonomous-robotic-machine-tool-for;A portable robot that mills, cuts, and engraves to turn BIG ideas into tangible items with any materials and various CAD file formats.
73;Food Safe, Eco-Friendly, Re-usable Mold Making Putty;Ended;120%;Fabrication Tools;Augusta, ME;January 30, 2018;ComposiMold;['https://www.facebook.com/ComposiMold/', 'https://twitter.com/composimold', 'https://www.instagram.com/composimold/', 'http://impressiveputty.com/', 'http://composimoldstore.com/', 'http://ecoluremaker.com/'];https://www.kickstarter.com/projects/composimold/food-safe-eco-friendly-re-usable-mold-making-putty;Food Safe, Eco-Friendly, Re-usable Mold Making Putty for Making Your Own Unique Edible Shapes into Chocolate, Candies, and More.
74;Crowdception! - YOUR crowdfunding future & my thesis!;Ended;156%;Fabrication Tools;Hamburg, Germany;December 22, 2017;Christian Thielke;[];https://www.kickstarter.com/projects/1603754359/crowdception-your-crowdfunding-future-and-my-thesi;Learn how to crowdfund: A scientific paper about crowdfunding, published by crowdfunding and with this crowdfunding campaign inside.
75;Cubiio: The Most Compact Laser Engraver;Ended;5495%;Fabrication Tools;Taipei City, Taiwan;April 5, 2023;Muherz;['http://cubiio.muherz.com/'];https://www.kickstarter.com/projects/cubiio/cubiio-the-most-compact-laser-engraver;Portable x Affordable = Maker + Baker + Designer + Handcrafter
76;Gerbil: The Open upgrade for your K40 Laser;Ended;110%;Fabrication Tools;Sydney, AU;September 21, 2018;Paul de Groot;['http://awesome.tech/', 'http://makerfaire.com/maker/entry/59915/', 'http://hackaday.com/2017/06/10/drop-in-controller-for-ebay-k40-laser-engraver-gets-results/', 'https://diyodemag.com/features/precision_laser_controller_upgrade', 'https://au.pinterest.com/pauljacobdegroo/laser/', 'https://www.facebook.com/paul.degroot.7165', 'https://www.linkedin.com/in/pauldegroot/'];https://www.kickstarter.com/projects/2118335444/gerbil-the-open-upgrade-for-your-k40-laser;Realise your K40 laser's potential with open software for productivity and upgraded hardware for enhanced engraving and cutting quality
